run_id,timestamp,tc_step,peak_forcing,final_entropy_proxy,status
0,2026-04-08T12:54:45.232133,27,2.695219305490128,1.5692066848283437e+23,COLLAPSE
1,2026-04-08T12:54:45.234508,29,2.723567425128903,1.2694992174936085e+23,COLLAPSE
2,2026-04-08T12:54:45.237175,25,2.7348407719394023,1.879757571355753e+23,COLLAPSE
3,2026-04-08T12:54:45.239318,24,2.5172097680720804,2.1065707730008563e+23,COLLAPSE
4,2026-04-08T12:54:45.241186,22,2.5693707166307607,2.381373278560299e+23,COLLAPSE
5,2026-04-08T12:54:45.242610,16,2.7580147881684374,4.939563320570184e+23,COLLAPSE
6,2026-04-08T12:54:45.244551,22,2.7504505122254113,2.707678627667446e+23,COLLAPSE
7,2026-04-08T12:54:45.247360,20,2.8779753004834006,3.2152512142307004e+23,COLLAPSE
8,2026-04-08T12:54:45.252239,16,2.6106712934492387,4.7431741065494384e+23,COLLAPSE
9,2026-04-08T12:54:45.253161,22,2.748594266234682,2.7102387161401076e+23,COLLAPSE
10,2026-04-08T12:54:45.256935,35,2.5583913417025372,6.317241222449864e+22,COLLAPSE
11,2026-04-08T12:54:45.258072,-1,2.750784851831132,-5.333042972346366e+22,STABLE
12,2026-04-08T12:54:45.259049,31,2.713641846143003,9.970403360580627e+22,COLLAPSE
13,2026-04-08T12:54:45.259962,18,2.7960592839555356,4.318916265320744e+23,COLLAPSE
14,2026-04-08T12:54:45.260852,51,3.027883144247781,1.1804050621427228e+22,COLLAPSE
15,2026-04-08T12:54:45.261921,-1,2.7429926940372793,-2.6407667185941173e+22,STABLE
16,2026-04-08T12:54:45.262862,24,2.7374400898001996,2.132802352372594e+23,COLLAPSE
17,2026-04-08T12:54:45.263814,-1,2.768779849066635,-8.625795905340276e+21,STABLE
18,2026-04-08T12:54:45.264761,25,2.992431794556751,2.0975279976628582e+23,COLLAPSE
19,2026-04-08T12:54:45.265770,24,2.7150028703176816,2.1740623904383646e+23,COLLAPSE
20,2026-04-08T12:54:45.266644,24,2.6371517472377075,2.116688816862037e+23,COLLAPSE
21,2026-04-08T12:54:45.267565,22,2.814470955305037,2.588699392349945e+23,COLLAPSE
22,2026-04-08T12:54:45.268406,24,2.419514340926364,2.3539182846545063e+23,COLLAPSE
23,2026-04-08T12:54:45.269285,20,2.8475002277452615,3.482157221891081e+23,COLLAPSE
24,2026-04-08T12:54:45.270173,40,2.6234918348913943,4.0564469052935456e+22,COLLAPSE
25,2026-04-08T12:54:45.271009,23,2.6773207580474505,2.5158851776622758e+23,COLLAPSE
26,2026-04-08T12:54:45.271944,21,2.872111636829403,3.099222015035193e+23,COLLAPSE
27,2026-04-08T12:54:45.272765,23,2.8542457264279757,2.557099292664674e+23,COLLAPSE
28,2026-04-08T12:54:45.273640,17,2.868290122856771,4.331046833049814e+23,COLLAPSE
29,2026-04-08T12:54:45.274489,33,2.9371669247368364,8.412930554162304e+22,COLLAPSE
30,2026-04-08T12:54:45.275404,19,2.712056902730212,3.53453745008351e+23,COLLAPSE
31,2026-04-08T12:54:45.278291,17,2.9530401773263577,4.114126316945387e+23,COLLAPSE
32,2026-04-08T12:54:45.279274,23,2.7427465998597915,2.4127162877563985e+23,COLLAPSE
33,2026-04-08T12:54:45.282221,19,2.746040519099871,3.884662596221486e+23,COLLAPSE
34,2026-04-08T12:54:45.283116,18,2.9261798517266895,3.991418903031257e+23,COLLAPSE
35,2026-04-08T12:54:45.286046,19,2.640637518907757,3.530132366272193e+23,COLLAPSE
36,2026-04-08T12:54:45.286907,22,2.7394652030464623,2.450197567177923e+23,COLLAPSE
37,2026-04-08T12:54:45.287769,29,3.0959117579265376,1.2245109949855272e+23,COLLAPSE
38,2026-04-08T12:54:45.292672,18,2.856620870339364,3.9860746744074845e+23,COLLAPSE
39,2026-04-08T12:54:45.293652,24,3.056327932053949,2.1735758434504897e+23,COLLAPSE
40,2026-04-08T12:54:45.298447,22,2.7238076576091705,2.9367150271536862e+23,COLLAPSE
41,2026-04-08T12:54:45.299405,23,2.511183713397477,2.164450688951231e+23,COLLAPSE
42,2026-04-08T12:54:45.302343,25,2.6104317733845113,1.9659786086474017e+23,COLLAPSE
43,2026-04-08T12:54:45.306357,16,2.620426533224415,5.1323304055667454e+23,COLLAPSE
44,2026-04-08T12:54:45.307893,32,2.6853695807400646,8.66879340925906e+22,COLLAPSE
